term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,dfidf,mean_tfidf
inserts,-0.0064223475281235,-0.010006052258716,-0.0063305541092432,-0.0009738467182422,0.0112121277725682,0.0059699339766667,0.0003792720542088,-0.003399675884422,-0.0034654135999385,-0.0012664831287875,7,9.13039508523876e-05,13.4189631854012,7,NNS,2,"{'NNS', 'NNP'}",0,9.316952533289973,0.0027220540428703
one,-0.0030794093230453,0.0047696156810391,-0.0016787076139013,-0.0028270251174825,-0.0026072613157852,0.0045510201954025,0.0103933773366994,0.0034427860858298,0.0107529061639096,0.0020151148861953,7,9.13039508523876e-05,13.4189631854012,3,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0014180600254309
conflict,0.0053130392457234,-0.0037783031050569,-0.0128800719001904,0.0017351361897162,0.0092412869478282,-0.0056759671354435,0.0043693742538882,0.0016921027980218,-0.0009397444755578,0.0099371621124174,7,9.13039508523876e-05,13.4189631854012,8,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0018520551672729
mill,0.0049866771769879,0.0007604741267091,0.0012087226222842,0.0476400014992819,0.0195716299117832,-0.042632399658607,0.0089446131870526,-0.0252179207602271,-0.0187833113697096,-0.0117692020498842,21,0.0002739118525571,11.834000684680044,4,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0060771836005795
back,-0.0098967812559457,-0.0016346461959907,-0.0099813387901044,0.0239504966265424,0.0284957076464076,0.0022852824466202,0.0110215146671212,-0.0023904967415056,-0.0369311294247191,0.0591812234920555,21,0.0002739118525571,11.834000684680044,4,NNP,2,"{'NN', 'NNP'}",0,9.316952533289973,0.0080593595770654
demand,-0.004358923555438,0.0046855649951799,5.508452841207143e-05,-0.0003678805517615,0.0006962800502734,0.0133196729615146,0.0077840010255807,0.0098447692077375,0.0046856760278021,0.0105119805796769,10,0.0001304342155034,12.904390012571442,6,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0024661253463179
read,-0.0013726868864869,0.003444883059158,-0.0272393816230842,0.016737066654895,0.0087988799673767,0.03029161006919,0.0189244800126598,0.0084761666178982,0.0085009317507588,0.0311334600878242,20,0.0002608684310068,11.904390012571442,4,NNP,1,{'NNP'},0,9.316952533289973,0.0062570823508507
founder,0.0008343373246707,-0.0031489223436823,0.0065550535051029,-0.0013728483389563,-0.0006267452408236,0.0047435129670266,0.0067099942948011,0.0034404502832295,-0.0100197916277855,0.0027604757602795,7,9.13039508523876e-05,13.4189631854012,7,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0018354095000854
feel,-0.002824270368477,0.0068914884316032,0.0034223687580157,0.0110989891115977,-0.0098295031004527,0.005058576054735,-0.0219348976385101,-0.0085336007681504,-0.0135236922177245,0.0128006417464992,9,0.000117390793953,13.056393106016492,4,NNP,2,"{'NN', 'NNP'}",0,9.316952533289973,0.0057430376477805
teamwork,-0.0026560887436245,-0.0041820338991814,-0.0032382614166433,0.0129308244878715,0.0023297312539041,0.0056887288484874,-0.0009567418843005,0.0043302437826557,0.0061155005712249,9.784733968149298e-05,7,9.13039508523876e-05,13.4189631854012,8,NN,1,{'NN'},0,9.316952533289973,0.0019715929935075
load,0.0027173266457426,0.0022278519639436,0.0024654671361879,-0.002992113824985,0.008785808020727,0.0016998664603783,-0.0036619166957406,-0.0028123204215013,-0.002262225271825,0.0164396800354866,7,9.13039508523876e-05,13.4189631854012,4,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0019334222244543
layer,0.0019430444884019,-0.0107333629084168,0.0027072350877842,0.0021665657131927,-0.00624715638887,0.0031507177751323,0.0163153581110258,-0.0095313631694678,7.831020418236443e-05,0.0113856231742709,9,0.000117390793953,13.056393106016492,5,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0045567654165797
means,0.0026756991073874,-0.0173862035827561,0.02104592705873,0.0059561219684341,-0.0220670254341025,-0.0094602294518488,0.001074062468828,-0.0446816867561928,0.0386862263714627,0.0086288023912908,11,0.0001434776370537,12.766886488821507,5,NNS,1,{'NNS'},0,9.316952533289973,0.0061906346538952
lighting,0.0012833991068791,0.0029264485200736,-0.0021713481542388,-0.0039417502288852,-0.006435783725821,0.0168362411434804,0.0058732360925833,0.0038597855233934,-0.0020414247533597,-0.0054419165793526,9,0.000117390793953,13.056393106016492,8,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0043117046684476
